Validator,PT_VERSION,2.11.0
Validator,HIP_VERSION,702
Validator,HIPBLASLT_VERSION,100200-2a3887e159
Validator,GCN_ARCH_NAME,gfx1151
Validator,ROCBLAS_VERSION,5.3.0.2a3887e159
GemmAndBiasTunableOp_float_TN,tn_2_6_256_ld_256_256_2,Gemm_Hipblaslt_1286,0.0136557
GemmAndBiasTunableOp_float_TN,tn_4_6_256_ld_256_256_4,Gemm_Hipblaslt_1286,0.0135612
GemmAndBiasTunableOp_float_TN,tn_10_6_256_ld_256_256_10,Gemm_Hipblaslt_1286,0.0134073
GemmAndBiasTunableOp_float_TN,tn_128_404_576_ld_576_576_128,Gemm_Hipblaslt_1285,0.0344787
GemmAndBiasTunableOp_float_TN,tn_2_404_128_ld_128_128_2,Gemm_Hipblaslt_1284,0.0104906
GemmAndBiasTunableOp_float_TN,tn_4_404_128_ld_128_128_4,Gemm_Hipblaslt_1286,0.010394
GemmAndBiasTunableOp_float_TN,tn_128_211_576_ld_576_576_128,Gemm_Hipblaslt_1285,0.0287871
GemmAndBiasTunableOp_float_TN,tn_2_211_128_ld_128_128_2,Gemm_Hipblaslt_1286,0.0105607
GemmAndBiasTunableOp_float_TN,tn_4_211_128_ld_128_128_4,Gemm_Hipblaslt_1286,0.0105855
GemmAndBiasTunableOp_float_TN,tn_128_119_576_ld_576_576_128,Gemm_Hipblaslt_1284,0.0220027
GemmAndBiasTunableOp_float_TN,tn_2_119_128_ld_128_128_2,Gemm_Hipblaslt_1286,0.0102333
GemmAndBiasTunableOp_float_TN,tn_4_119_128_ld_128_128_4,Gemm_Hipblaslt_1284,0.0105254
GemmAndBiasTunableOp_float_TN,tn_128_4_576_ld_576_576_128,Gemm_Hipblaslt_1286,0.020049
GemmAndBiasTunableOp_float_TN,tn_2_4_128_ld_128_128_2,Gemm_Hipblaslt_1286,0.0106653
GemmAndBiasTunableOp_float_TN,tn_4_4_128_ld_128_128_4,Gemm_Hipblaslt_1286,0.0107611
GemmAndBiasTunableOp_float_TN,tn_128_116_576_ld_576_576_128,Gemm_Hipblaslt_1284,0.0219562
GemmAndBiasTunableOp_float_TN,tn_2_116_128_ld_128_128_2,Gemm_Hipblaslt_1286,0.0103439
GemmAndBiasTunableOp_float_TN,tn_4_116_128_ld_128_128_4,Gemm_Hipblaslt_1286,0.0102461
